t_d	Normalized Data	t_d	ΔT_ph	ΔT_e	ΔT_m
0	0	-0.031015507753877	8.64913331589772	46.3790323327997	25.1089884400952
0	0	-0.0292646323161581	8.68454450732865	46.4833231538165	25.2022371427385
0	0	-0.0275137568784393	8.72001541541451	46.5869834467915	25.29553280625
0	0	-0.0257628814407206	8.75554534621535	46.6900177272578	25.3888724790475
0	0	-0.0240120060030015	8.79113361137666	46.792430883273	25.4822532430583
0	0	-0.0222611305652827	8.8267795284299	46.8942280658361	25.5756722149651
0	0	-0.0205102551275638	8.86248242100369	46.9954146151797	25.6691265470433
0	0	-0.0187593796898449	8.89824162435668	47.0960068241462	25.7626134513493
0	0	-0.0170085042521263	8.93405649456574	47.1960284853382	25.8561302397952
0	0	-0.0152576288144072	8.96992640804177	47.2954949109997	25.9496743216105
0	0	-0.0135067533766885	9.00585075439776	47.3944156649833	26.0432431718441
0	0	-0.0117558779389695	9.04182893295265	47.4927991843127	26.136834316033
0	0	-0.0100050025012506	9.07786035171948	47.5906530762654	26.2304453256768
0	0	-0.00825412706353194	9.11394442667217	47.6879843212088	26.3240738148295
0	0	-0.00650325162581287	9.15008058119279	47.7847994185803	26.4177174374712
0	0	-0.00475237618809421	9.18626824564494	47.8811044938896	26.5113738854486
0	0	-0.00300150075037514	9.2225068570384	47.976905377352	26.6050408868346
0	0	-0.00125062531265648	9.25879585876119	48.0722076630605	26.6987162045976
0	0	0.000500250125062389	9.29513470036208	48.1670167530487	26.7923976355067
0	0	0.00225112556278146	9.33152282745873	48.2613179747611	26.8860829656954
0	0	0.00400200100050012	9.3679596451368	48.355043259861	26.9797698101333
0	0	0.00575287643821919	9.40444449558677	48.448133183948	27.0734555154316
0	0	0.00750375187593785	9.44097668498321	48.5405735970554	27.1671372786589
0	0	0.00925462731365692	9.47755550897019	48.6323557367353	27.2608122587049
0	0	0.0110055027513756	9.51418025744188	48.7234746518756	27.3544775966569
0	0	0.0127563781890944	9.55085021785938	48.8139282069102	27.4481304304502
0	0	0.0145072536268133	9.58756467764571	48.9037163338742	27.5417679056265
