t_d_model_ps	DeltaT_lattice_K	DeltaT_electron_K
-0.156104069379586	295.07987146201	299.658231613394
-0.15396931287525	295.080864760823	299.696258291242
-0.151834556370914	295.081866156734	299.734295823697
-0.149699799866578	295.082875651753	299.772339643562
-0.147565043362241	295.083893246914	299.810385150497
-0.145430286857905	295.084918942266	299.848427711931
-0.143295530353569	295.085952736863	299.886462663992
-0.141160773849233	295.086994628765	299.924485312452
-0.139026017344897	295.088044615023	299.962490933682
-0.13689126084056	295.089102691678	300.000474775631
-0.134756504336224	295.090168853754	300.038432058812
-0.132621747831888	295.091243095251	300.076357977304
-0.130486991327552	295.09232540914	300.114247699767
-0.128352234823216	295.093415787359	300.152096370475
-0.126217478318879	295.094514220804	300.189899110356
-0.124082721814543	295.095620699327	300.22765101805
-0.121947965310207	295.096735211733	300.265347170977
-0.11981320880587	295.09785774577	300.302982626415
-0.117678452301534	295.098988288129	300.340552422598
-0.115543695797198	295.10012682444	300.378051579819
-0.113408939292862	295.101273339265	300.41547510154
-0.111274182788526	295.102427816098	300.452817975529
-0.109139426284189	295.103590237358	300.490075174987
-0.107004669779853	295.10476058439	300.527241659705
-0.104869913275517	295.105938837459	300.564312377214
-0.102735156771181	295.107124975748	300.601282263956
-0.100600400266845	295.108318977357	300.638146246458
-0.0984656437625083	295.1095208193	300.674899242522
-0.096330887258172	295.110730477502	300.71153616241
-0.0941961307538358	295.1119479268	300.748051910052
-0.0920613742494995	295.113173140939	300.784441384253
-0.0899266177451634	295.114406092572	300.82069947991
-0.0877918612408272	295.115646753261	300.856821089231
-0.0856571047364909	295.116895093472	300.892801102971
-0.0835223482321547	295.11815108258	300.928634411661
-0.0813875917278184	295.119414688864	300.964315906852
-0.0792528352234823	295.120685879513	300.999840482364
-0.0771180787191459	295.121964620619	301.035203035529
-0.0749833222148098	295.123250877184	301.070398468456
-0.0728485657104736	295.12454461312	301.10542168928
-0.0707138092061373	295.125845791248	301.140267613435
-0.068579052701801	295.127154373299	301.174931164911
-0.0664442961974648	295.12847031992	301.209407277526
-0.0643095396931287	295.129793590674	301.243690896197
-0.0621747831887925	295.131124144041	301.277776978211
-0.0600400266844562	295.132461937422	301.3116604945
-0.0579052701801199	295.133806927142	301.345336430911
-0.0557705136757837	295.135159068452	301.378799789487
-0.0536357571714476	295.136518315535	301.412045589738
-0.0515010006671112	295.137884621506	301.445068869914
-0.0493662441627751	295.139257938422	301.477864688284
-0.0472314876584389	295.140638217278	301.5104281244
-0.0450967311541026	295.142025408019	301.542754280375
-0.0429619746497663	295.143419459541	301.574838282145
-0.0408272181454301	295.144820319696	301.606675280738
-0.038692461641094	295.146227935301	301.638260453535
-0.0365577051367578	295.147642252139	301.669589005525
-0.0344229486324215	295.149063214967	301.700656170567
-0.0322881921280852	295.150490767523	301.731457212633
-0.0301534356237492	295.151924852532	301.761987427055
-0.0280186791194129	295.15336541171	301.792242141766
-0.0258839226150767	295.154812385777	301.822216718532
-0.0237491661107404	295.156265714457	301.851906554181
-0.0216144096064041	295.157725336491	301.881307081822
-0.0194796531020681	295.159191189643	301.91041377206
-0.0173448965977316	295.160663210708	301.939222134203
-0.0152101400933956	295.162141335519	301.967727717456
-0.0130753835890593	295.163625498958	301.995926112113
-0.0109406270847231	295.165115634963	302.023812950739
-0.00880587058038679	295.166611676538	302.05138390934
-0.00667111407605053	295.168113555761	302.078634708523
-0.00453635757171448	295.169621203797	302.105561114649
-0.00240160106737822	295.171134550901	302.132158940973
-0.000266844563041957	295.172653526438	302.158424048775
0.0018679119412943	295.174178058883	302.184352348476
0.00400266844563056	295.175708075838	302.209939800747
0.00613742494996662	295.177243504041	302.235182417602
0.00827218145430308	295.178784269377	302.260076263477
0.0104069379586391	295.180330296888	302.284617456304
0.0125416944629754	295.181881510789	302.30880216856
0.0146764509673117	295.183437834472	302.332626628313
0.0168112074716479	295.184999190525	302.356087120247
0.0189459639759842	295.186565500741	302.379179986673
0.0210807204803202	295.18813668613	302.40190162853
0.0232154769846565	295.189712666932	302.424248506362
0.0253502334889928	295.191293362633	302.44621714129
0.027484989993329	295.192878691971	302.467804115957
0.0296197464976653	295.194468572956	302.489006075465
0.0317545030020015	295.196062922879	302.509819728292
0.0338892595063378	295.197661658329	302.530241847191
0.0360240160106738	295.199264695203	302.550269270072
0.0381587725150101	295.200871948723	302.569898900868
0.0402935290193464	295.202483333449	302.589127710381
0.0424282855236826	295.204098763294	302.607952737108
0.0445630420280189	295.205718151536	302.626371088056
0.0466977985323549	295.207341410835	302.644379939526
0.0488325550366912	295.20896845325	302.661976537888
0.0509673115410273	295.210599190249	302.679158200331
0.0531020680453637	295.212233532727	302.695922315594
0.0552368245497	295.21387139102	302.71226634468
0.057371581054036	295.215512674924	302.728187821542
0.0595063375583723	295.217157293706	302.743684353758
0.0616410940627088	295.218805156122	302.758753623177
0.0637758505670448	295.220456170433	302.773393386547
0.0659106070713811	295.22211024442	302.787601476122
0.0680453635757171	295.223767285403	302.80137580025
0.0701801200800534	295.225427200253	302.814714343928
0.0723148765843899	295.227089895412	302.827615169351
0.0744496330887259	295.228755276907	302.840076416425
0.0765843895930622	295.230423250368	302.852096303265
0.0787191460973984	295.232093721046	302.863673126666
