t_d_model_ps	DeltaT_lattice_K	DeltaT_electron_K
-2.35690460306871	295.004386421843	295.077187376
-2.35223482321548	295.004419854702	295.078267095195
-2.34756504336224	295.004453769053	295.079579438418
-2.34289526350901	295.004488271866	295.081113933694
-2.33822548365577	295.004523465227	295.082763502812
-2.33355570380253	295.004559401818	295.084371302567
-2.3288859239493	295.004596062001	295.085945133868
-2.32421614409606	295.004633429748	295.087490227328
-2.31954636424283	295.004671491456	295.089010452667
-2.31487658438959	295.004710235312	295.090469572253
-2.31020680453636	295.00474963281	295.091858957177
-2.30553702468312	295.004789651481	295.093183782705
-2.30086724482989	295.004830261259	295.094448382866
-2.29619746497665	295.004871434095	295.095633114121
-2.29152768512342	295.004913132897	295.096561133661
-2.28685790527018	295.004955239082	295.097249461264
-2.28218812541694	295.004997641974	295.097711971951
-2.27751834556371	295.005040237351	295.097960678721
-2.27284856571047	295.005082926583	295.09808867958
-2.26817878585724	295.005125654001	295.098193898215
-2.263509006004	295.005168409101	295.098274108003
-2.25883922615077	295.005211180351	295.09832847314
-2.25416944629753	295.005253955842	295.098356814095
-2.2494996664443	295.005296723586	295.098397712473
-2.24482988659106	295.005339489381	295.098457279308
-2.24016010673782	295.005382261841	295.0985333096
-2.23549032688459	295.005425048556	295.098624115172
-2.23082054703135	295.005467856334	295.098743293027
-2.22615076717812	295.005510698245	295.098959999201
-2.22148098732488	295.005553619231	295.099267444847
-2.21681120747165	295.005596661077	295.099660143485
-2.21214142761841	295.005639863019	295.100133382816
-2.20747164776518	295.005683262101	295.100477958662
-2.20280186791194	295.005726798916	295.100535259667
-2.19813208805871	295.005770340984	295.100325058671
-2.19346230820547	295.005813765007	295.0998632242
-2.18879252835223	295.00585695507	295.099163329076
-2.184122748499	295.005899801573	295.098409623003
-2.17945296864576	295.005942279898	295.097619795659
-2.17478318879253	295.005984373592	295.096792870659
-2.17011340893929	295.006026065756	295.095928800142
-2.16544362908606	295.006067339477	295.095021918495
-2.16077384923282	295.006108175236	295.094055472025
-2.15610406937959	295.006148545802	295.093031842292
-2.15143428952635	295.006188425056	295.09195317767
-2.14676450967311	295.00622778788	295.090821488239
-2.14209472981988	295.006266610095	295.089819504235
-2.13742494996664	295.006304951761	295.089043228564
-2.13275517011341	295.006342917156	295.08847690235
-2.12808539026017	295.006380603235	295.088107752375
-2.12341561040694	295.006418101016	295.087924814906
-2.1187458305537	295.006455496415	295.088034834854
-2.11407605070047	295.006492924506	295.088423088672
-2.10940627084723	295.006530513509	295.089075002446
-2.104736490994	295.006568384857	295.089977626818
-2.10006671114076	295.006606653955	295.090937791588
-2.09539693128752	295.006645347108	295.091596905605
-2.09072715143429	295.006684325328	295.091980271929
-2.08605737158105	295.006723461366	295.092107079334
-2.08138759172782	295.00676263689	295.091993136567
-2.07671781187458	295.006801740917	295.091930146603
-2.07204803202135	295.006840796978	295.092024622748
-2.06737825216811	295.006879877683	295.092263971329
-2.06270847231488	295.006919049797	295.092638589647
-2.05803869246164	295.006958375623	295.093138403107
-2.05336891260841	295.006997912787	295.093724522472
-2.04869913275517	295.007037700959	295.094393256024
-2.04402935290193	295.00707777809	295.095141015359
-2.0393595730487	295.007118180455	295.095964408932
-2.03468979319546	295.007158942751	295.096851022575
-2.03002001334223	295.007200093934	295.097785526761
-2.02535023348899	295.00724165588	295.098766522666
-2.02068045363576	295.00728364981	295.099792504761
-2.01601067378252	295.007326096243	295.100861955473
-2.01134089392929	295.007369014986	295.101867013424
-2.00667111407605	295.00741237612	295.102785402075
-2.00200133422281	295.007456139477	295.103623585096
-1.99733155436958	295.007500267888	295.104386783471
-1.99266177451634	295.007544726614	295.105088492437
-1.98799199466311	295.007589487152	295.105786149501
-1.98332221480987	295.00763454749	295.106478956197
-1.97865243495664	295.007679905247	295.107166657806
-1.9739826551034	295.007725557926	295.107849227199
-1.96931287525017	295.007771503019	295.10846299889
-1.96464309539693	295.007817708672	295.108947852924
-1.9599733155437	295.007864115339	295.109312022087
-1.95530353569046	295.007910667298	295.109562276851
-1.95063375583722	295.007957311978	295.10970450769
-1.94596397598399	295.008003999551	295.10969006549
-1.94129419613075	295.008050657787	295.10951951965
-1.93662441627752	295.00809721476	295.109200831743
-1.93195463642428	295.008143602247	295.108741080494
-1.92728485657105	295.008189755323	295.10814932485
-1.92261507671781	295.008235613272	295.107440399579
-1.91794529686458	295.008281122245	295.10661903507
-1.91327551701134	295.008326230601	295.105689755568
-1.9086057371581	295.008370888809	295.104656858161
-1.90393595730487	295.008415049341	295.103777268591
-1.89926617745163	295.008458783122	295.103222576454
-1.8945963975984	295.008502240125	295.102969468688
-1.88992661774516	295.008545559496	295.102999258595
-1.88525683789193	295.008588871693	295.103296014631
-1.88058705803869	295.008632299763	295.103802903116
